constructorResultsId,raceId,constructorId,points,status
15956,1020,210,10,\N
15957,1020,131,2,\N
15958,1020,3,1,\N
15959,1020,4,0,\N
15960,1021,131,29,\N
15961,1021,9,27,\N
15962,1021,6,27,\N
15963,1021,1,12,\N
15964,1021,51,6,\N
15965,1021,5,1,\N
15966,1021,211,0,\N
15967,1021,4,0,\N
15968,1021,210,0,\N
15969,1021,3,0,\N
15970,1022,6,38,\N
15971,1022,131,33,\N
15972,1022,9,10,\N
15973,1022,211,9,\N
15974,1022,5,8,\N
15975,1022,4,4,\N
15976,1022,1,0,\N
15977,1022,210,0,\N
15978,1022,3,0,\N
15979,1022,51,0,\N
15980,1023,6,25,\N
15981,1023,131,34,\N
15982,1023,4,22,\N
15983,1023,9,12,\N
15984,1023,211,6,\N
15985,1023,51,2,\N
15986,1023,1,1,\N
15987,1023,5,0,\N
15988,1023,3,0,\N
15989,1023,210,0,\N
15990,1024,6,43,\N
15991,1024,9,23,\N
15992,1024,131,22,\N
15993,1024,1,6,\N
15994,1024,5,4,\N
15995,1024,4,2,\N
15996,1024,51,1,\N
15997,1024,210,0,\N
15998,1024,211,0,\N
15999,1024,3,0,\N
16000,1025,131,44,\N
16001,1025,6,15,\N
16002,1025,9,22,\N
16003,1025,1,12,\N
16004,1025,211,6,\N
16005,1025,210,2,\N
16006,1025,4,1,\N
16007,1025,5,0,\N
16008,1025,51,0,\N
16009,1025,3,0,\N
16010,1026,131,41,\N
16011,1026,6,26,\N
16012,1026,9,12,\N
16013,1026,1,10,\N
16014,1026,4,0,\N
16015,1026,5,7,\N
16016,1026,211,6,\N
16017,1026,51,0,\N
16018,1026,210,0,\N
16019,1026,3,0,\N
16020,1027,131,40,\N
16021,1027,6,31,\N
16022,1027,9,18,\N
16023,1027,211,6,\N
16024,1027,4,5,\N
16025,1027,5,2,\N
16026,1027,1,0,\N
16027,1027,51,0,\N
16028,1027,210,0,\N
16029,1027,3,0,\N
16030,1028,131,43,\N
16031,1028,9,25,\N
16032,1028,6,13,\N
16033,1028,4,10,\N
16034,1028,1,10,\N
16035,1028,211,1,\N
16036,1028,51,0,\N
16037,1028,5,0,\N
16038,1028,210,0,\N
16039,1028,3,0,\N
16040,1029,9,25,\N
16041,1029,5,19,\N
16042,1029,1,19,\N
16043,1029,51,22,\N
16044,1029,4,8,\N
16045,1029,131,6,\N
16046,1029,211,2,\N
16047,1029,210,0,\N
16048,1029,3,0,\N
16049,1029,6,0,\N
16050,1030,131,38,\N
16051,1030,9,26,\N
16052,1030,6,25,\N
16053,1030,211,6,\N
16054,1030,1,5,\N
16055,1030,5,2,\N
16056,1030,4,0,\N
16057,1030,51,0,\N
16058,1030,210,0,\N
16059,1030,3,0,\N
16060,1031,131,37,\N
16061,1031,6,19,\N
16062,1031,1,26,\N
16063,1031,211,8,\N
16064,1031,213,6,\N
16065,1031,4,4,\N
16066,1031,51,2,\N
16067,1031,3,0,\N
16068,1031,9,0,\N
16069,1031,210,0,\N
16070,1032,131,43,\N
16071,1032,9,27,\N
16072,1032,1,13,\N
16073,1032,211,14,\N
16074,1032,4,4,\N
16075,1032,213,1,\N
16076,1032,51,0,\N
16077,1032,210,0,\N
16078,1032,3,0,\N
16079,1032,6,0,\N
16080,1033,131,41,\N
16081,1033,9,28,\N
16082,1033,211,18,\N
16083,1033,6,8,\N
16084,1033,4,4,\N
16085,1033,210,1,\N
16086,1033,1,2,\N
16087,1033,213,0,\N
16088,1033,51,0,\N
16089,1033,3,0,\N
16090,1034,131,25,\N
16091,1034,9,23,\N
16092,1034,6,16,\N
16093,1034,4,20,\N
16094,1034,1,10,\N
16095,1034,213,6,\N
16096,1034,211,2,\N
16097,1034,3,0,\N
16098,1034,51,0,\N
16099,1034,210,0,\N
16100,1035,9,35,\N
16101,1035,131,34,\N
16102,1035,6,12,\N
16103,1035,211,14,\N
16104,1035,4,4,\N
16105,1035,1,2,\N
16106,1035,213,1,\N
16107,1035,51,0,\N
16108,1035,210,0,\N
16109,1035,3,0,\N
16110,1036,131,41,\N
16111,1036,9,22,\N
16112,1036,211,22,\N
16113,1036,1,9,\N
16114,1036,6,6,\N
16115,1036,213,2,\N
16116,1036,4,0,\N
16117,1036,51,0,\N
16118,1036,210,0,\N
16119,1036,3,0,\N
16120,1037,131,43,\N
16121,1037,9,23,\N
16122,1037,4,23,\N
16123,1037,1,6,\N
16124,1037,213,4,\N
16125,1037,211,3,\N
16126,1037,51,0,\N
16127,1037,6,0,\N
16128,1037,210,0,\N
16129,1037,3,0,\N
16130,1038,213,27,\N
16131,1038,1,30,\N
16132,1038,211,16,\N
16133,1038,131,17,\N
16134,1038,4,12,\N
16135,1038,3,0,\N
16136,1038,210,0,\N
16137,1038,51,0,\N
16138,1038,9,0,\N
16139,1038,6,0,\N
16140,1039,131,44,\N
16141,1039,9,15,\N
16142,1039,4,12,\N
16143,1039,211,10,\N
16144,1039,1,8,\N
16145,1039,213,6,\N
16146,1039,6,5,\N
16147,1039,51,2,\N
16148,1039,3,0,\N
16149,1039,210,0,\N
16150,1040,131,41,\N
16151,1040,9,19,\N
16152,1040,211,12,\N
16153,1040,4,16,\N
16154,1040,6,8,\N
16155,1040,213,6,\N
16156,1040,51,0,\N
16157,1040,210,0,\N
16158,1040,1,0,\N
16159,1040,3,0,\N
16160,1041,131,25,\N
16161,1041,9,19,\N
16162,1041,4,15,\N
16163,1041,211,16,\N
16164,1041,1,10,\N
16165,1041,213,8,\N
16166,1041,6,6,\N
16167,1041,210,2,\N
16168,1041,51,1,\N
16169,1041,3,0,\N
16170,1042,131,44,\N
16171,1042,9,15,\N
16172,1042,6,13,\N
16173,1042,213,10,\N
16174,1042,1,8,\N
16175,1042,211,6,\N
16176,1042,4,6,\N
16177,1042,51,0,\N
16178,1042,3,0,\N
16179,1042,210,0,\N
16180,1043,131,44,\N
16181,1043,4,15,\N
16182,1043,213,12,\N
16183,1043,6,10,\N
16184,1043,211,8,\N
16185,1043,1,10,\N
16186,1043,51,3,\N
16187,1043,3,0,\N
16188,1043,210,0,\N
16189,1043,9,0,\N
16190,1044,131,25,\N
16191,1044,211,20,\N
16192,1044,6,27,\N
16193,1044,1,15,\N
16194,1044,9,14,\N
16195,1044,4,1,\N
16196,1044,213,0,\N
16197,1044,51,0,\N
16198,1044,3,0,\N
16199,1044,210,0,\N
16200,1045,131,29,\N
16201,1045,9,34,\N
16202,1045,1,22,\N
16203,1045,213,8,\N
16204,1045,4,8,\N
16205,1045,6,1,\N
16206,1045,3,0,\N
16207,1045,51,0,\N
16208,1045,210,0,\N
16209,1045,211,0,\N
16210,1046,211,40,\N
16211,1046,4,28,\N
16212,1046,1,13,\N
16213,1046,9,8,\N
16214,1046,213,6,\N
16215,1046,131,7,\N
16216,1046,6,0,\N
16217,1046,51,0,\N
16218,1046,210,0,\N
16219,1046,3,0,\N
16220,1047,9,37,\N
16221,1047,131,33,\N
16222,1047,1,18,\N
16223,1047,4,9,\N
16224,1047,213,4,\N
16225,1047,211,1,\N
16226,1047,51,0,\N
16227,1047,6,0,\N
16228,1047,3,0,\N
16229,1047,210,0,\N
16230,1052,131,41,\N
16231,1052,9,28,\N
16232,1052,1,18,\N
16233,1052,6,12,\N
16234,1052,213,2,\N
16235,1052,117,1,\N
16236,1052,51,0,\N
16237,1052,214,0,\N
16238,1052,3,0,\N
16239,1052,210,0,\N
16240,1053,9,25,\N
16241,1053,131,19,\N
16242,1053,1,23,\N
16243,1053,6,22,\N
16244,1053,117,4,\N
16245,1053,213,6,\N
16246,1053,51,0,\N
16247,1053,214,3,\N
16248,1053,210,0,\N
16249,1053,3,0,\N
16250,1054,131,41,\N
16251,1054,9,30,\N
16252,1054,1,12,\N
16253,1054,6,8,\N
16254,1054,214,10,\N
16255,1054,213,1,\N
16256,1054,51,0,\N
16257,1054,117,0,\N
16258,1054,3,0,\N
16259,1054,210,0,\N
16260,1055,131,40,\N
16261,1055,9,29,\N
16262,1055,6,18,\N
16263,1055,1,12,\N
16264,1055,214,2,\N
16265,1055,213,1,\N
16266,1055,117,0,\N
16267,1055,51,0,\N
16268,1055,3,0,\N
16269,1055,210,0,\N
16270,1056,6,18,\N
16271,1056,9,37,\N
16272,1056,1,15,\N
16273,1056,117,14,\N
16274,1056,213,8,\N
16275,1056,131,7,\N
16276,1056,214,2,\N
16277,1056,51,1,\N
16278,1056,3,0,\N
16279,1056,210,0,\N
16280,1057,9,25,\N
16281,1057,117,18,\N
16282,1057,213,21,\N
16283,1057,6,16,\N
16284,1057,1,12,\N
16285,1057,214,8,\N
16286,1057,51,1,\N
16287,1057,131,0,\N
16288,1057,210,0,\N
16289,1057,3,0,\N
16290,1059,9,41,\N
16291,1059,131,30,\N
16292,1059,1,18,\N
16293,1059,213,6,\N
16294,1059,214,4,\N
16295,1059,117,3,\N
16296,1059,6,0,\N
16297,1059,3,0,\N
16298,1059,51,0,\N
16299,1059,210,0,\N
16300,1058,9,37,\N
16301,1058,131,34,\N
16302,1058,1,10,\N
16303,1058,6,14,\N
16304,1058,117,4,\N
16305,1058,214,2,\N
16306,1058,213,1,\N
16307,1058,51,0,\N
16308,1058,210,0,\N
16309,1058,3,0,\N
16310,1060,9,34,\N
16311,1060,131,30,\N
16312,1060,1,21,\N
16313,1060,6,14,\N
16314,1060,213,2,\N
16315,1060,214,1,\N
16316,1060,3,0,\N
16317,1060,117,0,\N
16318,1060,51,0,\N
16319,1060,210,0,\N
16320,1061,131,43,\N
16321,1061,6,26,\N
16322,1061,1,22,\N
16323,1061,214,8,\N
16324,1061,117,4,\N
16325,1061,213,1,\N
16326,1061,3,0,\N
16327,1061,51,0,\N
16328,1061,9,3,\N
16329,1061,210,0,\N
16330,1062,214,37,\N
16331,1062,117,0,\N
16332,1062,131,18,\N
16333,1062,6,15,\N
16334,1062,213,19,\N
16335,1062,3,10,\N
16336,1062,9,2,\N
16337,1062,51,1,\N
16338,1062,1,0,\N
16339,1062,210,0,\N
16340,1063,9,12.5,\N
16341,1063,3,10,\N
16342,1063,131,7.5,\N
16343,1063,1,6,\N
16344,1063,117,5,\N
16345,1063,213,4,\N
16346,1063,214,3,\N
16347,1063,6,2.5,\N
16348,1063,51,0,\N
16349,1063,210,0,\N
16350,1064,9,29,\N
16351,1064,131,34,\N
16352,1064,213,12,\N
16353,1064,6,16,\N
16354,1064,214,10,\N
16355,1064,1,1,\N
16356,1064,117,0,\N
16357,1064,51,0,\N
16358,1064,3,0,\N
16359,1064,210,0,\N
16360,1065,1,45,\N
16361,1065,131,18,\N
16362,1065,6,20,\N
16363,1065,9,12,\N
16364,1065,117,6,\N
16365,1065,214,5,\N
16366,1065,3,2,\N
16367,1065,51,0,\N
16368,1065,210,0,\N
16369,1065,213,0,\N
16370,1066,131,35,\N
16371,1066,9,20,\N
16372,1066,6,15,\N
16373,1066,1,19,\N
16374,1066,214,8,\N
16375,1066,51,4,\N
16376,1066,3,1,\N
16377,1066,117,0,\N
16378,1066,213,0,\N
16379,1066,210,0,\N
16380,1067,131,36,\N
16381,1067,9,33,\N
16382,1067,6,16,\N
16383,1067,213,8,\N
16384,1067,1,6,\N
16385,1067,117,2,\N
16386,1067,214,1,\N
16387,1067,51,0,\N
16388,1067,3,0,\N
16389,1067,210,0,\N
16390,1069,9,40,\N
16391,1069,131,27,\N
16392,1069,6,18,\N
16393,1069,1,14,\N
16394,1069,213,2,\N
16395,1069,117,1,\N
16396,1069,51,0,\N
16397,1069,3,0,\N
16398,1069,210,0,\N
16399,1069,214,0,\N
16400,1070,9,40,\N
16401,1070,131,18,\N
16402,1070,213,12,\N
16403,1070,6,18,\N
16404,1070,117,6,\N
16405,1070,51,4,\N
16406,1070,214,2,\N
16407,1070,1,1,\N
16408,1070,3,0,\N
16409,1070,210,0,\N
16410,1071,131,43,\N
16411,1071,9,33,\N
16412,1071,6,19,\N
16413,1071,213,6,\N
16414,1071,214,6,\N
16415,1071,1,1,\N
16416,1071,117,0,\N
16417,1071,51,0,\N
16418,1071,3,0,\N
16419,1071,210,0,\N
16420,1051,131,25,\N
16421,1051,9,31,\N
16422,1051,214,25,\N
16423,1051,117,9,\N
